val.NO2.weV,val.NO2.cnc,val.NO2.aeV,val.NO2.weC,val.Ox.weV,val.Ox.cnc,val.Ox.aeV,val.Ox.weC,val.NO.weV,val.NO.cnc,val.NO.aeV,val.NO.weC,val.CO.weV,val.CO.cnc,val.CO.aeV,val.CO.weC,val.sht.hmd,val.sht.tmp,rec,tag
0.29963,-4.7,0.29663,-0.001209,0.399256,19.2,0.401944,0.005795,0.310817,80,0.312442,0.030817,0.511758,472.3,0.202378,0.135549,62.4,24,2018-09-03T00:11:20.069+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399194,19,0.401944,0.005733,0.310692,79.7,0.312317,0.030692,0.511695,469.8,0.201816,0.134845,62.4,24,2018-09-03T00:11:30.067+00:00,scs-bgb-413
0.299692,-4.9,0.296692,-0.001261,0.399256,19.9,0.402006,0.006003,0.310692,79.7,0.312317,0.030692,0.511883,475.2,0.203003,0.136386,62.4,24,2018-09-03T00:11:40.080+00:00,scs-bgb-413
0.299692,-4.4,0.29663,-0.001144,0.399069,17.8,0.401881,0.005364,0.31088,80.2,0.312442,0.03088,0.512695,481.3,0.203441,0.138145,62.4,23.9,2018-09-03T00:11:50.067+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399194,18.8,0.401944,0.005685,0.310755,79.9,0.312317,0.030755,0.512633,473.4,0.201878,0.135854,62.4,24,2018-09-03T00:12:00.080+00:00,scs-bgb-413
0.299755,-4.2,0.29663,-0.001084,0.399256,18.8,0.401944,0.005676,0.310942,80.4,0.312442,0.030942,0.512883,475.5,0.202191,0.13646,62.4,24,2018-09-03T00:12:10.067+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399069,18.6,0.401944,0.005608,0.31088,80.2,0.312317,0.03088,0.51207,471.6,0.201941,0.135363,62.4,24,2018-09-03T00:12:20.077+00:00,scs-bgb-413
0.29963,-4.3,0.296567,-0.001094,0.399131,18.5,0.401944,0.005574,0.311005,80.5,0.312442,0.031005,0.511445,469.7,0.202003,0.134809,62.4,24,2018-09-03T00:12:30.067+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399256,19.2,0.401944,0.005795,0.310942,80.4,0.31238,0.030942,0.511195,471.1,0.202566,0.1352,62.4,24,2018-09-03T00:12:40.067+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399069,17.9,0.401881,0.0054,0.310942,80.4,0.31238,0.030942,0.513195,480.5,0.203191,0.137913,62.4,24,2018-09-03T00:12:50.068+00:00,scs-bgb-413
0.299755,-4.2,0.29663,-0.001084,0.399194,18.6,0.401944,0.005613,0.310942,80.4,0.312505,0.030942,0.511883,472,0.202191,0.13546,62.4,24,2018-09-03T00:13:00.074+00:00,scs-bgb-413
